[2020-12-31 18:17:11] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2020-12-31 18:17:11] |INFO   | [main.go line: 32 >> FileTest] console 
[2020-12-31 18:17:11] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc000006040 0xc000006038 1024} 
[2021-01-04 10:50:38] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2021-01-04 10:50:38] |INFO   | [main.go line: 32 >> FileTest] console 
[2021-01-04 10:50:38] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc0000cc020 0xc0000cc028 1024} 
[2021-01-04 11:30:03] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2021-01-04 11:30:03] |INFO   | [main.go line: 32 >> FileTest] console 
[2021-01-04 11:30:03] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc000006030 0xc000006038 1024} 
[2021-01-04 11:30:05] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2021-01-04 11:30:05] |INFO   | [main.go line: 32 >> FileTest] console 
[2021-01-04 11:30:05] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc000006030 0xc000006038 1024} 
