[2020-12-31 18:15:47] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2020-12-31 18:15:47] |INFO   | [main.go line: 32 >> FileTest] console 
[2020-12-31 18:15:47] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc000006040 0xc000006038 1024} 
[2020-12-31 18:17:04] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2020-12-31 18:17:04] |INFO   | [main.go line: 32 >> FileTest] console 
[2020-12-31 18:17:04] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc000006030 0xc000006038 1024} 
[2020-12-31 18:17:06] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2020-12-31 18:17:06] |INFO   | [main.go line: 32 >> FileTest] console 
[2020-12-31 18:17:06] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc00009e000 0xc00009e008 1024} 
[2020-12-31 18:17:09] |DEBUG  | [main.go line: 30 >> FileTest] console 
[2020-12-31 18:17:09] |INFO   | [main.go line: 32 >> FileTest] console 
[2020-12-31 18:17:09] |INFO   | [main.go line: 33 >> FileTest] console &{[1 3 2 4 5 6] ./logs 0xc00009e000 0xc00009e010 1024} 
